GeneCluster	X1	X2	p.value
NR2C2	2	-1	-0.05	5.38750070678297e-31
CAPN7	2	-1	-0.05	5.38750070678297e-31
METTL6	2	-1	-0.05	5.38750070678297e-31
EAF1	2	-1	-0.05	5.38750070678297e-31
DPH3	2	-1	-0.05	5.38750070678297e-31
OXNAD1	2	-1	-0.05	5.38750070678297e-31
RFTN1	2	-1	-0.05	5.38750070678297e-31
PLCL2	2	-1	-0.05	5.38750070678297e-31
TBC1D5	2	-1	-0.05	5.38750070678297e-31
SATB1	2	-1	-0.05	5.38750070678297e-31
KCNH8	2	-1	-0.05	5.38750070678297e-31
RAB5A	2	-1	-0.05	5.38750070678297e-31
KAT2B	2	-1	-0.05	5.38750070678297e-31
ZNF385D	2	-1.025	-0.05	1.21629281982821e-28
UBE2E2	2	-1	-0.05	5.38750070678297e-31
UBE2E1	2	-1	-0.05	5.38750070678297e-31
NKIRAS1	2	-1	-0.05	5.38750070678297e-31
RPL15	2	-1	-0.05	5.38750070678297e-31
RARB	2	-1	-0.05	5.38750070678297e-31
TOP2B	2	-1	-0.05	5.38750070678297e-31
NGLY1	2	-1	-0.05	5.38750070678297e-31
OXSM	2	-1	-0.05	5.38750070678297e-31
MLH1	2	-1	-0.05	5.38750070678297e-31
LRRFIP2	2	-1	-0.05	5.38750070678297e-31
GOLGA4	2	-1	-0.05	5.38750070678297e-31
ITGA9	2	-1	-0.05	5.38750070678297e-31
CTDSPL	2	-1	-0.05	5.38750070678297e-31
VILL	2	-1	-0.05	5.38750070678297e-31
PLCD1	2	-1	-0.05	5.38750070678297e-31
DLEC1	2	-1.025	-0.05	1.21629281982821e-28
ACAA1	2	-1.025	-0.05	1.21629281982821e-28
MYD88	2	-1	-0.05	5.38750070678297e-31
WDR48	2	-1	-0.05	5.38750070678297e-31
GORASP1	2	-1	-0.05	5.38750070678297e-31
TTC21A	2	-1	-0.05	5.38750070678297e-31
XIRP1	2	-1	-0.05	5.38750070678297e-31
CCR8	2	-1	-0.05	5.38750070678297e-31
SLC25A38	2	-1	-0.05	5.38750070678297e-31
RPSA	2	-1	-0.05	5.38750070678297e-31
EIF1B	2	-1	-0.05	5.38750070678297e-31
RPL14	2	-1	-0.05	5.38750070678297e-31
ZNF619	2	-1	-0.05	5.38750070678297e-31
ZNF620	2	-1	-0.05	5.38750070678297e-31
ZNF621	2	-1	-0.05	5.38750070678297e-31
CTNNB1	2	-1	-0.1	5.02052429306896e-21
ULK4	2	-1	-0.05	5.38750070678297e-31
CCDC12	2	-1.025	-0.075	8.98219279121869e-26
TKT	2	-1.025	-0.1	4.44213476567208e-28
ERC2	2	-1	-0.125	1.9516748888881e-22
CCDC66	2	-1	-0.075	4.25487842327432e-35
IL17RD	2	-1	-0.075	4.25487842327432e-35
HESX1	2	-1	-0.075	4.25487842327432e-35
ASB14	2	-1	-0.075	4.25487842327432e-35
PDE12	2	-1	-0.075	4.25487842327432e-35
ARF4	2	-1	-0.075	4.25487842327432e-35
DENND6A	2	-1	-0.075	4.25487842327432e-35
SLMAP	2	-1	-0.075	4.25487842327432e-35
FLNB	2	-1	-0.075	4.25487842327432e-35
DNASE1L3	2	-1	-0.075	4.25487842327432e-35
ABHD6	2	-1	-0.075	4.25487842327432e-35
RPP14	2	-1	-0.075	4.25487842327432e-35
PDHB	2	-1	-0.075	4.25487842327432e-35
KCTD6	2	-1	-0.075	4.25487842327432e-35
ACOX2	2	-1	-0.075	4.25487842327432e-35
FHIT	2	-1.025	-0.1	4.44213476567208e-28
LRIG1	2	-1.025	-0.1	4.44213476567227e-28
LMOD3	2	-1	-0.075	4.25487842327432e-35
FRMD4B	2	-1	-0.075	4.25487842327432e-35
ROBO1	2	-1	-0.075	4.25487842327432e-35
GBE1	2	-1	-0.075	4.25487842327432e-35
PLOD2	2	-1	-0.075	4.25487842327432e-35
PLSCR4	2	-1	-0.075	4.25487842327432e-35
TNIK	2	-1.025	-0.1	4.44213476567234e-28
PEX5L	2	-1	-0.15	1.71117220927347e-20
FGF12	2	-1.025	-0.1	4.44213476567234e-28
HGSNAT	1	1	0.2	8.02394530849223e-10
SPIDR	1	1.05	0.275	2.74276874155296e-10
CEBPD	1	1.05	0.275	2.74276874155296e-10
PRKDC	1	1.05	0.275	2.74276874155296e-10
MCM4	1	1.05	0.275	2.74276874155296e-10
UBE2V2	1	1.05	0.275	2.74276874155296e-10
EFCAB1	1	1.05	0.275	2.74276874155296e-10
PXDNL	1	1.05	0.3	1.09552516463831e-09
PCMTD1	1	1.05	0.225	1.27308146878333e-11
FAM150A	1	1.05	0.3	1.09552516463831e-09
OPRK1	1	1.05	0.3	1.09552516463831e-09
ATP6V1H	1	1.05	0.3	1.09552516463831e-09
RGS20	1	1.05	0.3	1.09552516463831e-09
TCEA1	1	1.05	0.3	1.09552516463831e-09
LYPLA1	1	1.05	0.3	1.09552516463831e-09
MRPL15	1	1.05	0.3	1.09552516463831e-09
SOX17	1	1.05	0.3	1.09552516463831e-09
TMEM68	1	1.05	0.3	1.09552516463831e-09
TGS1	1	1.05	0.3	1.09552516463831e-09
LYN	1	1.05	0.3	1.09552516463831e-09
CHCHD7	1	1.05	0.3	1.09552516463831e-09
IMPAD1	1	1.05	0.325	4.01383698470529e-09
FAM110B	1	1.05	0.325	4.01383698470529e-09
UBXN2B	1	1.05	0.325	4.01383698470529e-09
SDCBP	1	1.05	0.325	4.01383698470529e-09
NSMAF	1	1.05	0.325	4.01383698470529e-09
TOX	1	1.05	0.325	4.01383698470529e-09
CA8	1	1.05	0.35	1.36050693072973e-08
RAB2A	1	1.05	0.35	1.36050693072973e-08
CHD7	1	1.05	0.35	1.36050693072973e-08
ASPH	1	1.05	0.35	1.36050693072973e-08
GGH	1	1.05	0.35	1.36050693072973e-08
TTPA	1	1.05	0.35	1.36050693072973e-08
YTHDF3	1	1.05	0.35	1.36050693072973e-08
BHLHE22	1	1.05	0.425	3.55892346025081e-07
ARMC1	1	1.05	0.425	3.55892346025081e-07
MTFR1	1	1.1	0.425	4.59240002074255e-08
DNAJC5B	1	1.1	0.425	4.59240002074255e-08
ADHFE1	1	1.1	0.425	4.59240002074255e-08
RRS1	1	1.1	0.425	4.59240002074255e-08
MYBL1	1	1.1	0.425	4.59240002074255e-08
VCPIP1	1	1.1	0.425	4.59240002074255e-08
SGK3	1	1.1	0.425	4.59240002074255e-08
SNHG6	1	1.1	0.425	4.59240002074255e-08
PPP1R42	1	1.1	0.425	4.59240002074255e-08
COPS5	1	1.1	0.425	4.59240002074255e-08
CSPP1	1	1.1	0.425	4.59240002074255e-08
ARFGEF1	1	1.1	0.425	4.59240002074255e-08
PREX2	1	1.1	0.425	4.59240002074255e-08
SLCO5A1	1	1.15	0.425	1.87824050014149e-08
NCOA2	1	1.1	0.425	4.59240002074255e-08
TRAM1	1	1.1	0.425	4.59240002074255e-08
LACTB2	1	1.1	0.425	4.59240002074255e-08
MSC	1	1.1	0.45	1.2734207096313e-07
TERF1	1	1.1	0.45	1.2734207096313e-07
SBSPON	1	1.1	0.45	1.2734207096313e-07
RPL7	1	1.1	0.45	1.2734207096313e-07
RDH10	1	1.1	0.45	1.2734207096313e-07
STAU2	1	1.1	0.45	1.2734207096313e-07
UBE2W	1	1.1	0.45	1.2734207096313e-07
TCEB1	1	1.1	0.45	1.2734207096313e-07
TMEM70	1	1.1	0.45	1.2734207096313e-07
LY96	1	1.1	0.45	1.2734207096313e-07
JPH1	1	1.1	0.45	1.2734207096313e-07
PI15	1	1.1	0.45	1.2734207096313e-07
ZFHX4	1	1.1	0.45	1.2734207096313e-07
PEX2	1	1.1	0.45	1.2734207096313e-07
ZC2HC1A	1	1.1	0.45	1.2734207096313e-07
HEY1	1	1.1	0.45	1.2734207096313e-07
TPD52	1	1.1	0.45	1.2734207096313e-07
ZBTB10	1	1.1	0.45	1.2734207096313e-07
ZNF704	1	1.1	0.45	1.2734207096313e-07
PAG1	1	1.1	0.45	1.2734207096313e-07
FABP5	1	1.1	0.45	1.2734207096313e-07
IMPA1	1	1.1	0.45	1.2734207096313e-07
ZFAND1	1	1.1	0.45	1.2734207096313e-07
SNX16	1	1.1	0.45	1.2734207096313e-07
E2F5	1	1.1	0.475	3.35747925453553e-07
CA2	1	1.1	0.475	3.35747925453553e-07
ATP6V0D2	1	1.1	0.5	8.45112174524217e-07
WWP1	1	1.1	0.5	8.45112174524217e-07
RMDN1	1	1.1	0.5	8.45112174524217e-07
CPNE3	1	1.1	0.5	8.45112174524217e-07
